level,id,parent_id,flags,label_en,label_fr,def_en,def_fr
L2,medtop:20000770,medtop:14000000,missing_def_fr;fr_def_missing_en_present,demographics,Démographie,"The study of human populations and their characteristics, for example statistics or trends around aging populations in a particular geographic region",
L2,medtop:20000771,medtop:14000000,missing_def_fr;fr_def_missing_en_present,immigration,Immigration,The movement of individuals or groups of people from one country to another,
L2,medtop:20000772,medtop:14000000,missing_def_fr;fr_def_missing_en_present,emigration,Émigrés,Leaving one's country of residence to settle permanently elsewhere,
L2,medtop:20000775,medtop:14000000,missing_def_fr;fr_def_missing_en_present,discrimination,Discrimination,"Unfair treatment of, or policies or practices against, individuals or groups of people on the basis of real or perceived membership in a group, such as race, sexual orientation, political or religious beliefs, age or height",
L2,medtop:20000780,medtop:14000000,missing_def_fr;fr_def_missing_en_present,family,Famille,"A group of people related genetically or by a legal bond, or who consider themselves part of a familial unit regardless of genetic or legal status",
L2,medtop:20000788,medtop:14000000,missing_def_fr;fr_def_missing_en_present,demographic group,L'humanité,A subset of society with shared traits,
L2,medtop:20000799,medtop:14000000,missing_def_fr;fr_def_missing_en_present,social condition,Condition sociale,"The circumstances or state of affairs affecting a person's life, welfare and relations with others in a society",
L2,medtop:20000802,medtop:14000000,missing_def_fr;fr_def_missing_en_present,social problem,Problèmes sociaux,"Issues related to human rights, human welfare and other areas of societal concern",
L2,medtop:20000808,medtop:14000000,missing_def_fr;fr_def_missing_en_present,values,Valeurs,"A person's or group's principles or standards of behaviour, which guide their way of living and choices made",
L2,medtop:20000817,medtop:14000000,missing_def_fr;fr_def_missing_en_present,welfare,Protection sociale,"Help for those in need of food, housing, health and other services",
L2,medtop:20001373,medtop:14000000,missing_def_fr;label_fr_equals_en;fr_def_missing_en_present,"diversity, equity and inclusion","diversity, equity and inclusion",Efforts that seeks to promote the fair treatment and full participation of groups of people who have historically been underrepresented or subject to discrimination on the basis of identity or disability,
L1,medtop:15000000,,missing_def_fr;fr_def_missing_en_present,sport,Sport,Competitive activity or skill that involves physical and/or mental effort and organisations and bodies involved in these activities,
L2,medtop:20000822,medtop:15000000,missing_def_fr;fr_def_missing_en_present,competition discipline,Discipline,Different types of sport which can be executed in competitions,
L2,medtop:20001103,medtop:15000000,missing_def_fr;fr_def_missing_en_present,disciplinary action in sport,Mesures disciplinaires dans le sport,"Actions, including fines and suspensions levied by sports organisations and teams",
L2,medtop:20001104,medtop:15000000,missing_def_fr;fr_def_missing_en_present,drug use in sport,Médicaments autorisés dans le sport,"Drug use associated with sport activities, including doping, abuse, testing and permitted medical uses",
L2,medtop:20001108,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sport event,Évènement sportif,An event featuring one or more sport competitions,
L2,medtop:20001124,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sport industry,Industrie du sport,Commercial issues related to sport,
L2,medtop:20001125,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sport organisation,Organisation sportive,Organisations or associations that govern sports,
L2,medtop:20001126,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sport venue,Site sportif,"Gymnasiums, stadiums, arenas or facilities where sports events take place",
L2,medtop:20001148,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sports transaction,Transfert (sport),"The transfer of an athlete from one team to another, the hiring or drafting of an athlete onto a team or the change in professional status of a player on a team",
L2,medtop:20001301,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sport achievement,Exploit sportif,Records or honours earned by athletes for their performance,
L2,medtop:20001323,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sports coaching,Entraînement sportif,The staff responsible for the training and on-field management of a sports team,
L2,medtop:20001324,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sports management and ownership,Dirigeants sportifs,The executive leadership and owners of a sports team,
L2,medtop:20001325,medtop:15000000,missing_def_fr;fr_def_missing_en_present,sports officiating,Arbitrage sportif,"Referees, umpires and other staff who enforce the rules of a sport from on the field of play",
L2,medtop:20001361,medtop:16000000,missing_def_fr;label_fr_equals_en;fr_def_missing_en_present,cyber warfare,cyber warfare,"Cyber attacks, or suspected attacks, involving a government entity as either the sponsor or the target, or preventive measures against these types of actions",
L2,medtop:20001377,medtop:16000000,missing_def_fr;label_fr_equals_en;fr_def_missing_en_present,war victims,war victims,"Individuals who are injured or killed in a war or armed conflict, including civilians",
